13 982 5 
4 996 0 
0 996 4 
8 992 0 
6 994 0 
10 990 0 
0 991 9 
5 995 0 
0 1000 0 
0 1000 0 
6 985 9 
3 997 0 
40 956 4 
1 996 3 
0 1000 0 
7 989 4 
0 1000 0 
7 993 0 
3 996 1 
2 998 0 
0 977 23 
0 996 4 
0 1000 0 
0 986 14 
2 996 2 
0 1000 0 
2 997 1 
0 1000 0 
0 994 6 
15 963 22 
0 996 4 
9 987 4 
1 988 11 
15 985 0 
0 997 3 
3 997 0 
12 988 0 
0 998 2 
0 1000 0 
2 998 0 
14 986 0 
5 966 29 
0 1000 0 
3 991 6 
15 985 0 
9 989 2 
0 998 2 
3 995 2 
23 976 1 
1 999 0 
4 992 4 
16 983 1 
4 992 4 
3 997 0 
5 995 0 
1 991 8 
0 990 10 
1 983 16 
0 1000 0 
33 966 1 
0 1000 0 
0 999 1 
25 975 0 
0 993 7 
9 983 8 
12 969 19 
0 988 12 
3 997 0 
0 995 5 
13 987 0 
0 999 1 
4 990 6 
0 1000 0 
0 1000 0 
3 991 6 
1 985 14 
0 999 1 
20 979 1 
4 993 3 
12 988 0 
11 989 0 
0 992 8 
15 984 1 
3 996 1 
2 998 0 
1 999 0 
3 994 3 
6 993 1 
1 999 0 
11 988 1 
10 969 21 
14 977 9 
0 1000 0 
1 995 4 
7 986 7 
0 1000 0 
2 995 3 
2 982 16 
2 998 0 
0 1000 0 
2 995 3 
0 999 1 
1 992 7 
0 1000 0 
0 1000 0 
0 998 2 
0 998 2 
0 997 3 
0 1000 0 
0 1000 0 
0 988 12 
0 1000 0 
4 992 4 
4 996 0 
3 974 23 
0 997 3 
2 997 1 
0 1000 0 
3 997 0 
0 1000 0 
4 995 1 
3 988 9 
2 997 1 
0 1000 0 
0 1000 0 
5 985 10 
1 998 1 
30 956 14 
0 1000 0 
1 999 0 
10 989 1 
18 982 0 
3 996 1 
9 988 3 
0 986 14 
0 997 3 
0 982 18 
2 994 4 
21 977 2 
0 1000 0 
6 994 0 
9 991 0 
1 987 12 
0 995 5 
1 999 0 
1 999 0 
0 999 1 
2 984 14 
0 1000 0 
1 993 6 
0 1000 0 
3 988 9 
0 996 4 
3 967 30 
2 987 11 
0 1000 0 
11 982 7 
8 992 0 
4 989 7 
0 987 13 
0 996 4 
7 977 16 
8 992 0 
0 993 7 
7 993 0 
0 983 17 
0 1000 0 
0 1000 0 
0 1000 0 
9 987 4 
5 994 1 
0 994 6 
23 977 0 
0 1000 0 
2 998 0 
7 993 0 
1 998 1 
0 990 10 
0 1000 0 
0 993 7 
3 982 15 
13 978 9 
1 986 13 
0 998 2 
0 999 1 
0 1000 0 
11 989 0 
1 999 0 
1 999 0 
0 959 41 
0 992 8 
0 990 10 
4 994 2 
0 995 5 
0 983 17 
3 985 12 
1 999 0 
0 995 5 
8 992 0 
24 972 4 
0 998 2 
4 996 0 
0 999 1 
8 992 0 
1 997 2 
6 993 1 
3 997 0 
3 997 0 
0 998 2 
3 997 0 
1 993 6 
0 1000 0 
2 990 8 
3 996 1 
3 995 2 
1 999 0 
0 1000 0 
12 987 1 
14 979 7 
0 994 6 
27 973 0 
4 993 3 
4 993 3 
0 999 1 
0 999 1 
0 997 3 
0 989 11 
0 991 9 
4 996 0 
22 978 0 
0 999 1 
0 995 5 
2 998 0 
2 981 17 
0 983 17 
5 982 13 
0 1000 0 
0 999 1 
2 996 2 
0 999 1 
0 1000 0 
4 996 0 
0 998 2 
0 1000 0 
0 1000 0 
3 964 33 
12 988 0 
0 979 21 
3 989 8 
5 995 0 
0 998 2 
3 996 1 
0 987 13 
0 1000 0 
18 982 0 
37 955 8 
0 982 18 
2 996 2 
3 989 8 
2 997 1 
1 999 0 
0 1000 0 
0 1000 0 
0 995 5 
0 998 2 
0 998 2 
1 997 2 
0 1000 0 
10 979 11 
2 998 0 
0 1000 0 
3 988 9 
5 995 0 
4 985 11 
1 999 0 
12 988 0 
6 994 0 
0 1000 0 
1 998 1 
0 1000 0 
1 970 29 
0 1000 0 
0 1000 0 
0 998 2 
4 987 9 
7 993 0 
0 993 7 
1 989 10 
0 995 5 
0 999 1 
18 982 0 
6 994 0 
1 999 0 
0 985 15 
0 977 23 
36 961 3 
0 1000 0 
2 998 0 
0 1000 0 
1 998 1 
6 994 0 
3 994 3 
0 998 2 
7 993 0 
0 1000 0 
3 986 11 
0 1000 0 
0 1000 0 
8 991 1 
13 987 0 
8 986 6 
0 1000 0 
1 999 0 
8 989 3 
8 991 1 
4 993 3 
0 1000 0 
0 996 4 
2 997 1 
4 996 0 
7 989 4 
5 983 12 
5 995 0 
3 997 0 
0 1000 0 
0 1000 0 
0 1000 0 
0 1000 0 
2 996 2 
0 994 6 
2 998 0 
1 999 0 
4 995 1 
0 1000 0 
0 997 3 
4 996 0 
0 968 32 
0 997 3 
0 999 1 
0 1000 0 
0 1000 0 
2 991 7 
1 999 0 
0 1000 0 
0 1000 0 
10 989 1 
17 979 4 
5 993 2 
4 996 0 
0 993 7 
0 1000 0 
0 999 1 
0 1000 0 
6 994 0 
7 992 1 
4 996 0 
1 998 1 
2 993 5 
0 1000 0 
0 1000 0 
0 1000 0 
15 985 0 
11 989 0 
0 1000 0 
6 975 19 
0 1000 0 
2 995 3 
1 999 0 
3 995 2 
0 994 6 
12 988 0 
3 994 3 
5 989 6 
0 999 1 
0 999 1 
0 999 1 
4 987 9 
5 994 1 
0 1000 0 
6 994 0 
1 996 3 
0 1000 0 
4 996 0 
2 998 0 
3 997 0 
5 994 1 
0 1000 0 
2 998 0 
0 999 1 
4 981 15 
3 994 3 
3 995 2 
0 1000 0 
0 995 5 
6 975 19 
9 991 0 
10 989 1 
8 989 3 
2 998 0 
8 992 0 
0 1000 0 
3 997 0 
3 987 10 
5 995 0 
1 994 5 
5 982 13 
5 994 1 
0 994 6 
3 997 0 
0 1000 0 
0 998 2 
0 1000 0 
0 1000 0 
2 994 4 
5 986 9 
0 998 2 
8 990 2 
2 998 0 
0 996 4 
15 985 0 
0 999 1 
0 999 1 
4 990 6 
5 995 0 
6 983 11 
0 995 5 
2 998 0 
15 980 5 
0 1000 0 
15 981 4 
2 998 0 
2 998 0 
6 992 2 
0 1000 0 
9 991 0 
6 994 0 
1 999 0 
1 999 0 
0 1000 0 
3 996 1 
0 1000 0 
11 989 0 
3 997 0 
0 999 1 
6 986 8 
19 981 0 
10 988 2 
14 983 3 
0 1000 0 
0 1000 0 
0 998 2 
2 998 0 
0 1000 0 
1 997 2 
12 987 1 
1 998 1 
10 981 9 
0 977 23 
5 991 4 
31 969 0 
3 986 11 
2 998 0 
13 987 0 
1 998 1 
0 986 14 
0 994 6 
14 986 0 
7 968 25 
1 986 13 
0 984 16 
0 968 32 
14 975 11 
8 985 7 
2 997 1 
0 1000 0 
18 975 7 
6 994 0 
0 1000 0 
15 983 2 
2 992 6 
0 995 5 
0 987 13 
1 995 4 
17 973 10 
0 999 1 
1 999 0 
1 999 0 
1 999 0 
4 992 4 
0 1000 0 
0 1000 0 
6 994 0 
0 1000 0 
1 999 0 
13 987 0 
5 993 2 
0 1000 0 
6 994 0 
0 1000 0 
0 1000 0 
23 976 1 
0 1000 0 
0 998 2 
0 1000 0 
18 978 4 
3 996 1 
1 993 6 
1 999 0 
3 983 14 
9 991 0 
6 986 8 
0 988 12 
0 997 3 
3 997 0 
9 989 2 
0 998 2 
10 990 0 
25 964 11 
0 998 2 
4 990 6 
0 1000 0 
2 992 6 
2 997 1 
3 975 22 
9 990 1 
0 1000 0 
15 966 19 
7 992 1 
1 999 0 
0 1000 0 
0 989 11 
23 976 1 
0 967 33 
14 975 11 
1 997 2 
0 997 3 
15 985 0 
1 999 0 
12 988 0 
0 998 2 
0 1000 0 
0 1000 0 
0 978 22 
0 996 4 
0 1000 0 
0 980 20 
20 958 22 
0 999 1 
0 994 6 
0 999 1 
0 1000 0 
1 995 4 
16 973 11 
15 985 0 
0 996 4 
3 991 6 
0 982 18 
0 990 10 
0 994 6 
0 1000 0 
23 977 0 
5 995 0 
0 998 2 
0 997 3 
1 990 9 
0 1000 0 
0 1000 0 
1 988 11 
5 980 15 
0 1000 0 
9 990 1 
2 998 0 
4 990 6 
0 996 4 
2 986 12 
0 989 11 
0 1000 0 
0 990 10 
0 996 4 
1 999 0 
10 990 0 
1 999 0 
2 986 12 
0 1000 0 
0 1000 0 
3 996 1 
2 996 2 
5 995 0 
0 1000 0 
0 1000 0 
8 983 9 
3 997 0 
0 998 2 
0 999 1 
5 993 2 
0 990 10 
3 997 0 
1 988 11 
0 991 9 
