1618 2797 1429 
1180 2474 1292 
1004 2267 1201 
1336 2521 1051 
1350 2675 1595 
1246 2546 1342 
1414 2655 1199 
1205 2530 1073 
1216 2774 1408 
1391 2838 1469 
1268 2698 1424 
1447 2706 1431 
1409 2607 1118 
1277 2651 1248 
1441 2887 1256 
1263 2714 1377 
1180 2705 1317 
1303 2754 1623 
1296 2912 1530 
1170 2357 1149 
1466 2927 1395 
1419 3000 1399 
1496 2682 1370 
1426 2716 1390 
1095 2642 1331 
1488 2730 1386 
1403 2647 1350 
1144 2547 1051 
1469 2695 1290 
1400 2629 1423 
1290 2750 1292 
1573 3014 1501 
1304 2500 1378 
1277 2730 1313 
1548 2708 1588 
1270 2864 1364 
1529 2908 1347 
1390 2747 1205 
1716 2803 1323 
1306 2786 1300 
1579 2658 1279 
1305 2493 1340 
1174 2788 1458 
1381 2681 1224 
1357 2824 1469 
1160 2640 1340 
1443 2553 1372 
1516 2999 1123 
1377 2910 1473 
1477 2701 1542 
1205 2738 1293 
1113 2496 1243 
1095 2483 1156 
1354 2711 1307 
1168 2576 1574 
1292 2590 1266 
1293 2561 1334 
1365 2637 1548 
1263 2701 1342 
1475 2613 1468 
1599 2798 1531 
1270 2539 1281 
1301 2494 1221 
1384 2785 1289 
1163 2518 1083 
1508 3012 1370 
1341 2680 1231 
1087 2269 1300 
1386 2734 1566 
1373 2652 1225 
1432 2897 1407 
1287 2880 1447 
1373 2667 1372 
1351 2472 1327 
1362 2708 1160 
1262 2599 1245 
1317 2484 1319 
1231 2624 1295 
1257 2611 1034 
1257 2447 1296 
1378 2658 1286 
1367 2805 1612 
1108 2802 1176 
1145 2382 1285 
1661 2975 1264 
1301 2731 1394 
1322 2580 1318 
1470 2723 1545 
1344 2902 1462 
1281 2595 1356 
1341 2755 1302 
1367 2981 1266 
1434 2587 1301 
1584 2683 1461 
1415 2839 1208 
1235 2528 1215 
1246 2404 1194 
1217 2587 1202 
1501 3026 1397 
1284 2362 1228 
1374 2741 1625 
1474 2975 1363 
1217 2703 1284 
1103 2650 1287 
1492 2910 1388 
1463 2746 1627 
1363 2764 1255 
1462 2859 1295 
1460 2979 1327 
1290 2554 1280 
1283 2627 1390 
1228 2396 1092 
1389 2742 1323 
1305 2612 1525 
1328 3030 1568 
1274 2390 1354 
1129 2600 1247 
1262 2355 1315 
1212 2777 1083 
1371 2827 1312 
1133 2465 1246 
1045 2494 1019 
1153 2413 1164 
1487 2604 1359 
1546 2642 1416 
1427 2549 1362 
1627 2506 1503 
1294 2487 1391 
1325 2754 1353 
1420 2753 1189 
1151 2537 1112 
1242 2445 1097 
1270 2569 1169 
1187 2266 1193 
1218 2432 1412 
1232 2784 1208 
1155 2321 1224 
1253 2388 1211 
1505 2745 1466 
1520 2942 1452 
1464 2867 1433 
1268 2564 1218 
1174 2445 1175 
1315 2656 1391 
1297 2612 1383 
1313 2560 1409 
1493 2946 1369 
1110 2407 1193 
1274 2349 1217 
1430 2826 1374 
1295 2414 1161 
1344 2771 1449 
1419 2731 1364 
1368 2856 1574 
1323 2576 1159 
1412 2584 1262 
1201 2427 1228 
1236 2643 1265 
1452 2720 1516 
1557 2884 1433 
1420 2680 1324 
1038 2583 1279 
1361 2713 1296 
1409 2732 1327 
1103 2420 1251 
1339 2559 1260 
1166 2667 1315 
1465 3069 1374 
1172 2727 1373 
1523 2631 1212 
1311 2785 1490 
1812 2740 1292 
1127 2587 1158 
1314 2808 1370 
1220 2616 1354 
1457 2463 1304 
1274 2735 1559 
1234 2726 1490 
1405 2857 1860 
1512 2465 1313 
1158 2365 1167 
1403 2759 1432 
1451 2662 1271 
1280 2548 1220 
1312 2876 1190 
1466 2855 1233 
1455 2838 1553 
1195 2289 1490 
1377 2769 1566 
1318 2652 1284 
1502 3204 1600 
